term,expected,matched,consistency
поддающиеся профилактике болезни,1,0,0.0
Хиогская декларация,6,0,0.0
Предназначение,12,0,0.0
принимая во внимание,8,0,0.0
неистощительное ведение лесного хозяйства,37,0,0.0
Сфера применения,5,1,0.2
Всеобщая декларация прав человека,3,1,0.3333333333333333
пленарное заседание,20,7,0.35
План действий,5,2,0.4
Международное десятилетие культуры мира и ненасилия в интересах детей планеты,6,3,0.5
Международный уголовный трибунал,2,1,0.5
Повестка дня на XXI век,2,1,0.5
международный механизм по лесам,2,1,0.5
Экономический и Социальный Совет,20,11,0.55
Глобальная цель,7,4,0.5714285714285714
Не имеющий обязательной юридической силы документ,8,5,0.625
перечень наименее развитых стран,3,2,0.6666666666666666
настоящего документа,9,6,0.6666666666666666
"Помощь в деятельности, связанной с разминированием",6,4,0.6666666666666666
Приложение,17,14,0.8235294117647058
Хиогская рамочная программа действий,7,6,0.8571428571428571
принимая к сведению,9,8,0.8888888888888888
РЕЗОЛЮЦИЯ,102,96,0.9411764705882353
Организация Объединенных Наций,35,34,0.9714285714285714
Генеральный секретарь,52,52,1.0
Устав Организации Объединенных Наций,24,24,1.0
Конвенция о правах ребенка,2,2,1.0
принимает следующую Декларацию:,1,1,1.0
Генеральная Ассамблея,25,25,1.0
государства-члены,46,46,1.0
Международный год сближения культур,2,2,1.0
без голосования,15,15,1.0
Совет Безопасности,6,6,1.0
Личный представитель Генерального секретаря при Организации освобождения Палестины и Палестинской администрации,2,2,1.0
Специальный координатор Организации Объединенных Наций по ближневосточному мирному процессу,2,2,1.0
общество Красного Креста,3,3,1.0
Международное движение Красного Креста и Красного Полумесяца ,3,3,1.0
Руководящие принципы,3,3,1.0
Межправительственная океанографическая комиссия,3,3,1.0
Секретариат,10,10,1.0
«Альянс цивилизаций»,1,1,1.0
Принципы лесопользования,1,1,1.0
Рио-де-Жанейрская декларация по окружающей среде и развитию,2,2,1.0
Настоящий документ призван:,1,1,1.0
Национальные стратегии и меры,1,1,1.0
Международное сотрудничество и средства осуществления,1,1,1.0
"Контроль, оценка и отчетность",1,1,1.0
Методы работы,1,1,1.0
"Протокол о запрещении или ограничении применения мин, мин-ловушек и других устройств с поправками, внесенными в 1996 году (Протокол II к Конвенции 1980 года о запрещении или ограничении применения конкретных видов обычного оружия, которые могут считаться наносящими чрезмерные повреждения или имеющими неизбирательное действие)",1,1,1.0
"Дополнительный протокол к Женевским конвенциям от 12 августа 1949 года, касающийся защиты жертв международных вооруженных конфликтов (Протокол I), 1977 года",1,1,1.0
"Конвенция о запрещении применения, накопления запасов, производства и передачи противопехотных мин и об их уничтожении 1997 года",1,1,1.0
Конвенция о правах инвалидов 2006 года,1,1,1.0
Протокол по взрывоопасным пережиткам войны 2003 года (Протокол V к Конвенции 1980 года),1,1,1.0
